[2019-06-09 21:05] Dzserold megváltoztatta Stan Barger skinjét. SkinID: 223. (PLAYER:Dzserold) (TARGET:Stan Barger) 
[2019-06-10 12:46] Kyle megváltoztatta Jashed Lane skinjét. SkinID: 110. (PLAYER:Kyle) (TARGET:Jashed Lane) 
[2019-06-10 12:46] Kyle megváltoztatta Jashed Lane skinjét. SkinID: 112. (PLAYER:Kyle) (TARGET:Jashed Lane) 
[2019-06-10 12:46] Kyle megváltoztatta Jashed Lane skinjét. SkinID: 113. (PLAYER:Kyle) (TARGET:Jashed Lane) 
[2019-06-10 12:46] Kyle megváltoztatta Jashed Lane skinjét. SkinID: 114. (PLAYER:Kyle) (TARGET:Jashed Lane) 
[2019-06-10 12:46] Kyle megváltoztatta Jashed Lane skinjét. SkinID: 115. (PLAYER:Kyle) (TARGET:Jashed Lane) 
[2019-06-10 12:46] Kyle megváltoztatta Jashed Lane skinjét. SkinID: 116. (PLAYER:Kyle) (TARGET:Jashed Lane) 
[2019-06-10 12:46] Kyle megváltoztatta Jashed Lane skinjét. SkinID: 117. (PLAYER:Kyle) (TARGET:Jashed Lane) 
[2019-06-10 12:46] Kyle megváltoztatta Jashed Lane skinjét. SkinID: 118. (PLAYER:Kyle) (TARGET:Jashed Lane) 
[2019-06-10 12:46] Kyle megváltoztatta Jashed Lane skinjét. SkinID: 110. (PLAYER:Kyle) (TARGET:Jashed Lane) 
[2019-06-10 12:47] Kyle megváltoztatta Jashed Lane skinjét. SkinID: 112. (PLAYER:Kyle) (TARGET:Jashed Lane) 
[2019-06-10 12:52] Shox megváltoztatta Cameron B Qwens skinjét. SkinID: 110. (PLAYER:Shox) (TARGET:Cameron B Qwens) 
[2019-06-10 12:53] Kyle megváltoztatta Wyde Riggs skinjét. SkinID: 101. (PLAYER:Kyle) (TARGET:Wyde Riggs) 
[2019-06-10 12:53] Kyle megváltoztatta Wyde Riggs skinjét. SkinID: 102. (PLAYER:Kyle) (TARGET:Wyde Riggs) 
[2019-06-10 12:53] Kyle megváltoztatta Wyde Riggs skinjét. SkinID: 103. (PLAYER:Kyle) (TARGET:Wyde Riggs) 
[2019-06-10 12:53] Kyle megváltoztatta Wyde Riggs skinjét. SkinID: 104. (PLAYER:Kyle) (TARGET:Wyde Riggs) 
[2019-06-10 12:53] Kyle megváltoztatta Wyde Riggs skinjét. SkinID: 103. (PLAYER:Kyle) (TARGET:Wyde Riggs) 
[2019-06-10 12:54] Kyle megváltoztatta Wyde Riggs skinjét. SkinID: 104. (PLAYER:Kyle) (TARGET:Wyde Riggs) 
[2019-06-10 12:54] Kyle megváltoztatta Wyde Riggs skinjét. SkinID: 103. (PLAYER:Kyle) (TARGET:Wyde Riggs) 
[2019-06-10 12:55] Shakur megváltoztatta Niken Twist skinjét. SkinID: 101. (PLAYER:Shakur) (TARGET:Niken Twist) 
[2019-06-10 12:55] Shakur megváltoztatta Niken Twist skinjét. SkinID: 102. (PLAYER:Shakur) (TARGET:Niken Twist) 
[2019-06-10 12:55] Shakur megváltoztatta Niken Twist skinjét. SkinID: 103. (PLAYER:Shakur) (TARGET:Niken Twist) 
[2019-06-10 12:55] Shakur megváltoztatta Niken Twist skinjét. SkinID: 104. (PLAYER:Shakur) (TARGET:Niken Twist) 
[2019-06-10 12:55] Shakur megváltoztatta Niken Twist skinjét. SkinID: 105. (PLAYER:Shakur) (TARGET:Niken Twist) 
[2019-06-10 12:55] Shakur megváltoztatta Niken Twist skinjét. SkinID: 106. (PLAYER:Shakur) (TARGET:Niken Twist) 
[2019-06-10 12:55] Shakur megváltoztatta Niken Twist skinjét. SkinID: 107. (PLAYER:Shakur) (TARGET:Niken Twist) 
[2019-06-10 12:55] Shakur megváltoztatta Niken Twist skinjét. SkinID: 108. (PLAYER:Shakur) (TARGET:Niken Twist) 
[2019-06-10 12:55] Shakur megváltoztatta Niken Twist skinjét. SkinID: 109. (PLAYER:Shakur) (TARGET:Niken Twist) 
[2019-06-10 12:55] Shakur megváltoztatta Niken Twist skinjét. SkinID: 110. (PLAYER:Shakur) (TARGET:Niken Twist) 
[2019-06-10 12:55] Shakur megváltoztatta Niken Twist skinjét. SkinID: 111. (PLAYER:Shakur) (TARGET:Niken Twist) 
[2019-06-10 12:55] Shakur megváltoztatta Niken Twist skinjét. SkinID: 112. (PLAYER:Shakur) (TARGET:Niken Twist) 
[2019-06-10 12:55] Shakur megváltoztatta Niken Twist skinjét. SkinID: 113. (PLAYER:Shakur) (TARGET:Niken Twist) 
[2019-06-10 12:55] Shakur megváltoztatta Niken Twist skinjét. SkinID: 114. (PLAYER:Shakur) (TARGET:Niken Twist) 
[2019-06-10 12:55] Shakur megváltoztatta Niken Twist skinjét. SkinID: 115. (PLAYER:Shakur) (TARGET:Niken Twist) 
[2019-06-10 12:55] Shakur megváltoztatta Niken Twist skinjét. SkinID: 116. (PLAYER:Shakur) (TARGET:Niken Twist) 
[2019-06-10 12:55] Shakur megváltoztatta Niken Twist skinjét. SkinID: 117. (PLAYER:Shakur) (TARGET:Niken Twist) 
[2019-06-10 12:55] Shakur megváltoztatta Niken Twist skinjét. SkinID: 118. (PLAYER:Shakur) (TARGET:Niken Twist) 
[2019-06-10 12:56] Shakur megváltoztatta Niken Twist skinjét. SkinID: 120. (PLAYER:Shakur) (TARGET:Niken Twist) 
[2019-06-10 12:56] Shakur megváltoztatta Niken Twist skinjét. SkinID: 101. (PLAYER:Shakur) (TARGET:Niken Twist) 
[2019-06-10 12:56] Shakur megváltoztatta Niken Twist skinjét. SkinID: 99. (PLAYER:Shakur) (TARGET:Niken Twist) 
[2019-06-10 12:56] Shakur megváltoztatta Niken Twist skinjét. SkinID: 102. (PLAYER:Shakur) (TARGET:Niken Twist) 
[2019-06-10 12:56] Shakur megváltoztatta Niken Twist skinjét. SkinID: 110. (PLAYER:Shakur) (TARGET:Niken Twist) 
[2019-06-10 13:00] Shakur megváltoztatta Tazwell Reese skinjét. SkinID: 66. (PLAYER:Shakur) (TARGET:Tazwell Reese) 
[2019-06-10 13:19] Shakur megváltoztatta Eric newmann nevét. Új név: Eric Newmann. (PLAYER:Shakur) (TARGET:Eric newmann) 
[2019-06-10 13:33] Zsömi megváltoztatta Brian Hardwick nevét. Új név: Stanley Hardwick. (PLAYER:Zsömi) (TARGET:Brian Hardwick) 
[2019-06-10 13:36] Zsömi megváltoztatta Stanley Hardwick skinjét. SkinID: 95. (PLAYER:Zsömi) (TARGET:Stanley Hardwick) 
[2019-06-10 14:01] Zsömi megváltoztatta Stanley Hardwick skinjét. SkinID: 301. (PLAYER:Zsömi) (TARGET:Stanley Hardwick) 
[2019-06-10 14:02] Zsömi megváltoztatta Stanley Hardwick nevét. Új név: Stanley Price. (PLAYER:Zsömi) (TARGET:Stanley Hardwick) 
[2019-06-10 14:17] Zsömi megváltoztatta Stanley Price skinjét. SkinID: 301. (PLAYER:Zsömi) (TARGET:Stanley Price) 
[2019-06-10 14:46] Shox megváltoztatta Ryan Toretto nevét. Új név: Troy Williams. (PLAYER:Shox) (TARGET:Ryan Toretto) 
[2019-06-10 15:27] Denzel megváltoztatta Tazwell Reese skinjét. SkinID: 157. (PLAYER:Denzel) (TARGET:Tazwell Reese) 
[2019-06-10 15:57] Süsü megváltoztatta Abdulah Abu Ubaida nevét. Új név: Malek Curt. (PLAYER:Süsü) (TARGET:Abdulah Abu Ubaida) 
[2019-06-10 15:59] Süsü megváltoztatta Malek Curt skinjét. SkinID: 305. (PLAYER:Süsü) (TARGET:Malek Curt) 
[2019-06-10 19:03] Atesz megváltoztatta Escobar S Cartel skinjét. SkinID: 9. (PLAYER:Atesz) (TARGET:Escobar S Cartel) 
[2019-06-10 19:03] Atesz megváltoztatta Escobar S Cartel skinjét. SkinID: 90. (PLAYER:Atesz) (TARGET:Escobar S Cartel) 
[2019-06-10 19:03] Atesz megváltoztatta Escobar S Cartel skinjét. SkinID: 15. (PLAYER:Atesz) (TARGET:Escobar S Cartel) 
[2019-06-10 19:03] Atesz megváltoztatta Escobar S Cartel skinjét. SkinID: 16. (PLAYER:Atesz) (TARGET:Escobar S Cartel) 
[2019-06-10 19:03] Atesz megváltoztatta Escobar S Cartel skinjét. SkinID: 10. (PLAYER:Atesz) (TARGET:Escobar S Cartel) 
[2019-06-10 19:03] Atesz megváltoztatta Escobar S Cartel skinjét. SkinID: 11. (PLAYER:Atesz) (TARGET:Escobar S Cartel) 
[2019-06-10 19:03] Atesz megváltoztatta Escobar S Cartel skinjét. SkinID: 50. (PLAYER:Atesz) (TARGET:Escobar S Cartel) 
[2019-06-10 19:04] Atesz megváltoztatta Escobar S Cartel skinjét. SkinID: 55. (PLAYER:Atesz) (TARGET:Escobar S Cartel) 
[2019-06-10 19:04] Atesz megváltoztatta Escobar S Cartel skinjét. SkinID: 53. (PLAYER:Atesz) (TARGET:Escobar S Cartel) 
[2019-06-10 19:04] Atesz megváltoztatta Escobar S Cartel skinjét. SkinID: 80. (PLAYER:Atesz) (TARGET:Escobar S Cartel) 
